# Global Carbon Budget 2025 — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in billion tonnes of carbon per year (GtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in billion tonnes of CO2 per year, multiply the values below by 3.664
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2025) and Andrew and Peters (2025). Full country and fuel data can be found at https://zenodo.org/records/17417124
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2025; see summary tab)
#
# GtC/yr
#
#
# Generated with openclimatedata 0.36 from the GCB Excel file from https://doi.org/10.18160/gcp-2025
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1948,1.48686754846736,1.02094073965505,0.37405906745893,0.0764539427243847,0.0140925377119586,0.0,0.00132126091703057,0.6087190898678713
1949,1.42031465759912,0.96814247533188,0.353146651472266,0.0820032098837563,0.0158812319374147,0.0,0.00114108897379913,0.5759752181366643
1950,1.61856048755447,1.0589396021824,0.423521582469644,0.0963853761686039,0.0182586276071842,0.020094,0.00136129912663755,0.6492178936909255
1951,1.74171690179883,1.11466866510611,0.46948032164398,0.113587979746327,0.0206784860966685,0.0218000163454795,0.00150143286026201,0.6865459186526538
1952,1.76520194553315,1.09990603190008,0.496477527736774,0.122021276208948,0.022037733573673,0.0232979814630219,0.00146139465065502,0.6831048633677844
1953,1.81523988379384,1.10837904824418,0.528946315330197,0.129511539554504,0.0244393182152415,0.0222019812270106,0.00176168122270742,0.6891293371825012
1954,1.85309335572487,1.10635256849717,0.560652844475648,0.136832971026832,0.0265102831527582,0.0211831983977909,0.00156149017467249,0.6899351807556863
1955,2.03168735025133,1.19707494834814,0.62760314321007,0.149356472729832,0.0293219622153531,0.0264290087916041,0.00190181495633188,0.7414338823426112
1956,2.16328466688459,1.25772288860916,0.682050616252036,0.160273468506028,0.0317924672193152,0.029523392236914,0.00192183406113537,0.7738702628694224
1957,2.23416384109563,1.28045376366922,0.712895782623285,0.176497580816695,0.0334201865874841,0.0290347506522275,0.00186177674672489,0.7831976020476779
1958,2.29735728195762,1.2995246479932,0.742149393663046,0.192645499311972,0.0353968437540195,0.025959292431887,0.00168160480349345,0.7891309717755974
1959,2.41678824533062,1.35205569939473,0.790855139900596,0.206948684404268,0.0396410463417661,0.0250255164464596,0.00226215884279476,0.8148444711880529
1960,2.56194087824161,1.40783916203688,0.851520108246393,0.227788713243087,0.0429568302175531,0.0243286439860133,0.00750742051169101,0.8495989410274883
1961,2.5695934742663,1.34939581306683,0.903137801708369,0.240754806879385,0.0447991521894598,0.0235314052986742,0.00797449512357886,0.8384021987056591
1962,2.66027313874287,1.34513844802618,0.97114121410518,0.26414297465786,0.0481343858595224,0.0234527344243861,0.00826338166974888,0.8517304909523385
1963,2.80206813999081,1.39408594509536,1.03811640010905,0.285739634523126,0.0507589278997327,0.024701462384538,0.00866576997900289,0.8776187891477468
1964,2.95427665161876,1.42282059754553,1.12018034719046,0.314681156959459,0.0562636768152295,0.0307838062551658,0.00954706685291497,0.9049741490263316
1965,3.08695493416446,1.44352851349319,1.20345045867506,0.335880623322392,0.0590694936739351,0.035601182792905,0.00942466220697639,0.9257531064649915
1966,3.23761605363027,1.46014673214969,1.2988189357621,0.365715049854223,0.0635939084034068,0.0394558095989839,0.0098856178618647,0.9511095591215194
1967,3.33989376007824,1.43609934920622,1.38497277923031,0.391129567408854,0.0654697451292041,0.0520695828341938,0.0101527362694529,0.961559675012847
1968,3.5221816761647,1.45187187351475,1.50878768913704,0.425696183348308,0.0696705199678806,0.0556223484745581,0.0105330617221611,0.9935107588946654
1969,3.75594906885503,1.50607898282207,1.63167636912581,0.466353698764152,0.0738535098927334,0.0666033716929118,0.0113831365573563,1.0377007341712703
1970,4.06635873653196,1.55536528126782,1.85562664148653,0.48879260486695,0.0786657469811451,0.0758042422477598,0.0121042196817581,1.100597226516528
1971,4.23140383577221,1.55569190635773,1.96534591596488,0.527726043361871,0.0827124474784643,0.0877382717229043,0.0121892508863662,1.122433580160458
1972,4.42810604935451,1.55329798917737,2.11918806296623,0.5601388800558,0.0876790503106632,0.0946818929454836,0.0131201738989613,1.1516777257385946
1973,4.66083134434986,1.5995901636362,2.24336541030336,0.601179735414799,0.0928387410197703,0.109766932754787,0.0140903612209382,1.1887434581476588
1974,4.63916801333499,1.59871542649461,2.21050498154485,0.615868026478036,0.0929614051116212,0.10682022672463,0.014297946981231,1.160832081018369
1975,4.63659299855599,1.64255326067806,2.1848040246794,0.611699348149559,0.0927609716909358,0.0919017171664934,0.0128736761915478,1.1390062686594085
1976,4.87513420083682,1.69932851876779,2.31322108468014,0.64383442698262,0.09717595218744,0.10792336053154,0.013650857687288,1.1763620589483157
1977,5.0103817337093,1.73990816747776,2.39285084895428,0.658220660571101,0.101722128428114,0.104117745058423,0.0135621832196241,1.1878955736932244
1978,5.1923420657277,1.77678164212303,2.49282812267822,0.693705596398745,0.108594160585764,0.106492641759778,0.0139399021821708,1.209744667568296
1979,5.32439696375329,1.85586291938427,2.51755380328495,0.728183649661433,0.110181072257313,0.0982967758967443,0.0143187432685752,1.2188048041288744
1980,5.29743259626933,1.90638363547648,2.43244399842077,0.748229848454638,0.110850446541379,0.0863689972548402,0.0131556701212294,1.191074999713471
1981,5.15277201013526,1.89490763910205,2.31533948710281,0.754195687288938,0.110859411346521,0.0647318396617208,0.0127379456332243,1.1377843647353902
1982,5.11182925000872,1.92876544520011,2.2588039532622,0.737308519347432,0.11027470818006,0.0642965731466867,0.0123800508722353,1.1082139972746021
1983,5.1587813982997,1.98396268923161,2.24200133241122,0.748668013378152,0.112793378240539,0.058091783599485,0.0132642014386972,1.0982375229592483
1984,5.31038475612004,2.07044635597839,2.24855523881617,0.811142732233366,0.114933584256715,0.0509696401057891,0.0143372047296028,1.110453753740618
1985,5.49805212257387,2.22293233345482,2.25098607159075,0.843258779789567,0.116195592255624,0.0495219884473033,0.0151573570357982,1.129208453968743
1986,5.57806900576505,2.25476689810532,2.31730176618598,0.822763747771635,0.120574309429285,0.0463072784562936,0.0163550058165279,1.1250478135402184
1987,5.76042310650434,2.33330501603298,2.34152101230575,0.895624194873542,0.125104135827434,0.0444894001377055,0.0203793473269321,1.1407351287832088
1988,5.98219322538387,2.41168907519131,2.42612986649974,0.937766916464449,0.131530707861613,0.0506630090938288,0.0244136502729258,1.1633998253636255
1989,6.05900994335255,2.40933334370434,2.46653554195693,0.983886047424287,0.134299444310718,0.0412043656014747,0.0237512003548035,1.1575296524189247
1990,6.20418768518683,2.36347908470329,2.50994539069818,1.03443827759105,0.134421942730429,0.0700839771133036,0.091819012350587,1.1644926730760572
1991,6.33340364503931,2.34009008701264,2.63550424029786,1.05117914023556,0.137743895250162,0.0742794986198563,0.0946067836232239,1.1687972568580953
1992,6.14640394823527,2.28197980172979,2.49854121828936,1.0647833308573,0.143537568385212,0.0654459177820068,0.0921161111915983,1.1163122623972666
1993,6.20902622299677,2.31168901120232,2.50336274085838,1.09383300209592,0.149990938054068,0.06343891385244,0.0867116169336437,1.110431275866388
1994,6.27035980857432,2.32362080273288,2.50988965391811,1.10266755552924,0.160137441141064,0.0854058082022984,0.0886385470507221,1.1048018997362261
1995,6.41829636749816,2.39040425470473,2.53381584830878,1.14542784067461,0.169269768620243,0.0885274134672196,0.0908512417225689,1.1145044699774447
1996,6.61394015575572,2.45004463288162,2.60975351621509,1.19585121157519,0.172914548098535,0.0951277991422114,0.0902484478430812,1.132125480635773
1997,6.65401782970953,2.43649024620604,2.6479833331017,1.19952449691312,0.179811425938676,0.0957368159518985,0.0944715115980931,1.1230812033032194
1998,6.63092603682912,2.37145225409682,2.68066992163202,1.21274688916125,0.179201978478354,0.0914251337466047,0.095429859714084,1.1038542401847586
1999,6.77886754069088,2.40422834017091,2.74677619376024,1.25168286990793,0.187785714071097,0.089633816760634,0.098760606020065,1.1132961871417877
2000,6.96274112281506,2.49908233257982,2.78701530156248,1.29034464199151,0.196005839439277,0.0943166929088049,0.0959763143331779,1.1281717753936418
2001,7.012279911753,2.51321743369001,2.80665134781068,1.30232392544249,0.204898474716293,0.0911778936617896,0.0940108364317376,1.1210793199446953
2002,7.1684856830625,2.62832455065103,2.80277097423775,1.34106216884938,0.212610341503295,0.0881853914387419,0.095532256382311,1.1310808911444374
2003,7.54713168213208,2.85659549763894,2.87686936700985,1.39088312545347,0.234016063460217,0.0937333418674985,0.0950342867021055,1.1754994675323427
2004,7.80841266116004,2.95125315651762,2.98159779258451,1.43495380145134,0.244522236378754,0.0931915956184783,0.102894078609338,1.2006703185502785
2005,8.07831617024202,3.13823696537225,3.01045425175693,1.46732773414056,0.263858167383844,0.0945829335242615,0.103856118064175,1.22640850168683
2006,8.34993223420098,3.3122920477379,3.04119207899258,1.5095539963494,0.285833565622217,0.0945887263952471,0.10647181910364,1.2515914399784491
2007,8.5969583848849,3.47283063754521,3.05248702849279,1.56567601686054,0.30736874760127,0.0934089791704082,0.10518697521468,1.2722458989971823
2008,8.74717802596211,3.58888344904084,3.04130453763248,1.61176322721676,0.310425010922694,0.0910714928917498,0.103730308257592,1.2779943215261436
2009,8.60071331414666,3.54890073892275,2.97478064960268,1.57360373994768,0.319488536732027,0.0896931614351541,0.0942464875063632,1.2405889363728213
2010,9.09325146604024,3.79864174437427,3.07142317943501,1.69371717144768,0.341652151490272,0.0927240228117688,0.0950931964812363,1.295015428441011
2011,9.41047748013145,4.0131611533697,3.0868310112085,1.7438128478889,0.367016042229399,0.0972300439385495,0.102426381496411,1.3233832608992186
2012,9.54004782179978,4.0578062047641,3.12028293716193,1.78033378120119,0.375915456794057,0.102090287694526,0.103619154183971,1.3247853871171595
2013,9.62768004294181,4.08110074897999,3.14318388658542,1.793972581124,0.393377106435364,0.104262313707341,0.111783406109687,1.3203445669042222
2014,9.67950161099288,4.09794863617515,3.15552178513457,1.80266796892319,0.407328329388753,0.104741326703171,0.111293564668045,1.31129840553018
2015,9.66253480164719,3.9997315119769,3.21234242845292,1.83651458146446,0.393194724883578,0.104037571433119,0.116713983436204,1.2934268542427763
2016,9.65961527277387,3.90911272264398,3.24788854074459,1.88724073023282,0.402878665561285,0.101394149726095,0.111100463865101,1.2779712363715339
2017,9.8183979030965,3.95583185681322,3.29838760544489,1.93357395538883,0.409374121496694,0.104861418218531,0.116368945734325,1.2841863093564267
2018,10.0256558220444,4.02911967520576,3.31409069364429,2.02494893754945,0.422174842907325,0.110273163915954,0.12504850882165,1.2969963667185258
2019,10.1218795542907,4.01281591058172,3.36405785811714,2.06715499694574,0.440973408664554,0.118010884916835,0.118866495064728,1.2958006631964598
2020,9.59558674360229,3.89384185110696,2.98371764259846,2.05262543406858,0.443245685821035,0.109170655861845,0.112985474145405,1.2166330888439632
2021,10.061916972685,4.0854938283004,3.14223973707289,2.15029972921194,0.454935869338336,0.109775162301751,0.119172646459688,1.2649421403084955
2022,10.2422957637073,4.21647843671564,3.25188651438613,2.11756152743731,0.430878642879053,0.108862209965357,0.116628432323809,1.2768701947860548
2023,10.3968461161941,4.26756914241784,3.35104842956972,2.12959751910326,0.420383790354005,0.112266023548422,0.115981211200814,1.2848723056470746
2024,10.5345464062896,4.31366106774629,3.40354681135657,2.18608834226212,0.401969831482778,0.113457329801199,0.115823023640606,1.2906863277669887
